text,label,source
Below are unaudited consolidated results for Aspocomp Group under IFRS reporting standards .,neutral,financial_phrasebank
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative,financial_phrasebank
"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught .",neutral,financial_phrasebank
"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",neutral,financial_phrasebank
"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .",neutral,financial_phrasebank
"The most significant capital expenditure items were in the global enterprise resource planning ERP project , product development and production machines .",neutral,financial_phrasebank
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral,financial_phrasebank
Yvonne Jones is owner of Chameleon Interiors .,neutral,financial_phrasebank
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,financial_phrasebank
No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .,neutral,financial_phrasebank
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",neutral,financial_phrasebank
"`` I 'm trying to deal with slavery from a different perspective to balance the story , '' says DeRamus , formerly a writer at the Detroit Free Press and the Detroit News .",neutral,financial_phrasebank
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .",positive,financial_phrasebank
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,neutral,financial_phrasebank
A total of $ 78 million will be invested in the project .,neutral,financial_phrasebank
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,positive,financial_phrasebank
"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",negative,financial_phrasebank
"Below are consolidated , unaudited results for Amanda Capital under IFRS reporting standards .",neutral,financial_phrasebank
"The decision reflects the underutilisation of the line , which produces nonwovens used in medical and wipes applications as well as for the automotive industry .",neutral,financial_phrasebank
Net sales in 2007 are expected to be 10 % up on 2006 .,positive,financial_phrasebank
"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",positive,financial_phrasebank
The company is presently examining whether the project would be financially feasible .,neutral,financial_phrasebank
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",positive,financial_phrasebank
Insurance policies should be simple .,neutral,financial_phrasebank
"Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen , China .",neutral,financial_phrasebank
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,neutral,financial_phrasebank
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",negative,financial_phrasebank
"Ethanol would be made from barley , and production could start in 2008 .",neutral,financial_phrasebank
The net sales of the Power Plants business were EUR 710.3 million in 2005 .,neutral,financial_phrasebank
"The firm 's services include copying , printing , CAD-modelling , digital printing , scanning , SokoPro project bank and courier services .",neutral,financial_phrasebank
"In addition , MIDs are always online and enable full Internet browsing .",neutral,financial_phrasebank
The Group also has a strong global position in other fishing categories .,positive,financial_phrasebank
The order was worth EUR 8mn .,neutral,financial_phrasebank
Customers in a wide range of industries use our stainless steel and services worldwide .,neutral,financial_phrasebank
Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,negative,financial_phrasebank
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",neutral,financial_phrasebank
The project is expected to be completed in 2009 .,neutral,financial_phrasebank
Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 .,negative,financial_phrasebank
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,negative,financial_phrasebank
The share of the share capital of both above mentioned shareholders remains below 5 % .,neutral,financial_phrasebank
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,neutral,financial_phrasebank
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",negative,financial_phrasebank
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",positive,financial_phrasebank
The company expects its net sales in 2008 to increase 5-10 % from 2007 .,positive,financial_phrasebank
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares .,neutral,financial_phrasebank
"By the end of 2006 , the number of joint branch offices will total 170 .",neutral,financial_phrasebank
"The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila 's factory at Khopoli , near Mumbai .",neutral,financial_phrasebank
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .,neutral,financial_phrasebank
"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",positive,financial_phrasebank
"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",neutral,financial_phrasebank
"Aug. 17 , 2010 ( Curbed delivered by Newstex ) -- And now , the latest from Racked , covering shopping and retail from the sidewalks up .",neutral,financial_phrasebank
"CapMan has six investment areas CapMan Buyout , CapMan Technology , CapMan Life Science , CapMan Russia , CapMan Public Market and CapMan Real Estate , and each of them has a dedicated team and funds .",neutral,financial_phrasebank
"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn .",neutral,financial_phrasebank
"Stockholm , 3 March 2011 About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions .",neutral,financial_phrasebank
"It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights .",neutral,financial_phrasebank
Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors .,neutral,financial_phrasebank
The Notice in its entirety with other proposals from the Nomination Committee and the Board will be published at least four weeks before 28 April on the company 's website and in Post - och Inrikes Tidningar and Dagens Industri .,neutral,financial_phrasebank
The first stage of the contract covers 133 stores and 600 cash registers .,neutral,financial_phrasebank
Currency conversions are based on exchange rates at the time of the deal .,neutral,financial_phrasebank
"Sanoma Learning & Literature , offering print and digital learning materials , is present in eleven countries .",neutral,financial_phrasebank
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,financial_phrasebank
Turnover rose to EUR21m from EUR17m .,positive,financial_phrasebank
"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",neutral,financial_phrasebank
"Igor and Oleg Yankov , who currently manage Moron and Vitim , will hold onto the 25 % stake for now .",neutral,financial_phrasebank
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,neutral,financial_phrasebank
The customers will have an access to integrated propeller and gear packages from one source .,neutral,financial_phrasebank
"Sales are expected to increase in the end of the year 2006 , however .",positive,financial_phrasebank
"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",negative,financial_phrasebank
Renesas Mobile Europe Ltd has approximately 470 employees in Oulu .,neutral,financial_phrasebank
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",positive,financial_phrasebank
"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",positive,financial_phrasebank
The value of the orders is about EUR 25mn .,neutral,financial_phrasebank
Mobile communication and wireless broadband provider Nokia Inc NYSE : NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market .,neutral,financial_phrasebank
"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .",neutral,financial_phrasebank
"The deal includes the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees .",neutral,financial_phrasebank
"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .",neutral,financial_phrasebank
Market data and analytics are derived from primary and secondary research .,neutral,financial_phrasebank
Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division .,neutral,financial_phrasebank
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",positive,financial_phrasebank
The business development initiatives in North America are headed by Lynn Shanahan .,neutral,financial_phrasebank
"Under the agreement , Larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January 1 , 2007 .",neutral,financial_phrasebank
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,negative,financial_phrasebank
The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,positive,financial_phrasebank
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector .",neutral,financial_phrasebank
"It comes complete with an LCD touch screen system for selection of your chosen function and prices start at around the pounds 4,805 mark .",neutral,financial_phrasebank
"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .",positive,financial_phrasebank
The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007 .,neutral,financial_phrasebank
"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .",positive,financial_phrasebank
"German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers , and Dutch ING ( AMS : INGA ) as co-arranger .",neutral,financial_phrasebank
"Currently , the company uses eight similar reach stackers and four empty container handlers by Konecranes .",neutral,financial_phrasebank
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",positive,financial_phrasebank
The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,neutral,financial_phrasebank
"One price category is for calls on the preferred operator 's network , and another for calls on other operators ' networks .",neutral,financial_phrasebank
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .",neutral,financial_phrasebank
"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .",neutral,financial_phrasebank
Residents access to the block is planned to be from Aleksandri Street .,neutral,financial_phrasebank
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",negative,financial_phrasebank
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,financial_phrasebank
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,positive,financial_phrasebank
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive,financial_phrasebank
EUR 152.4 mn of this was net interest income .,neutral,financial_phrasebank
The business section also includes Ahlstrom 's sustainability report .,neutral,financial_phrasebank
The contract value amounts to EUR 2.4 million .,neutral,financial_phrasebank
Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m .,neutral,financial_phrasebank
"Pre-tax profit totaled EUR 397.4 mn , up from EUR 164.7 mn .",positive,financial_phrasebank
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,financial_phrasebank
Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .,negative,financial_phrasebank
The machinery now ordered will be placed in a new mill with an annual production capacity of 40 000 m3 of overlaid birch plywood .,neutral,financial_phrasebank
"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",positive,financial_phrasebank
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",neutral,financial_phrasebank
The fine print is here .,neutral,financial_phrasebank
"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",positive,financial_phrasebank
"The company , which has EUR2 .8 bn in assets , counts among its five largest shareholders Finnish insurers Ilmarinen 4.34 % and Varma 0.70 % , as well as the Finnish state pension fund VER 0.61 % .",neutral,financial_phrasebank
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,negative,financial_phrasebank
The expanded plant is scheduled to be operational by the middle of October 2009 .,neutral,financial_phrasebank
In 2007 Etteplan reported a turnover of EUR125 .2 m.,neutral,financial_phrasebank
"In 2008 , the deal is likely to bring savings of EUR 20mn-25mn .",positive,financial_phrasebank
"Altogether CapMan employs approximately 150 people in Helsinki , Stockholm , Copenhagen , Oslo , Moscow and Luxembourg .",neutral,financial_phrasebank
A few employees would remain at the Oulu plant in support functions for other group units .,neutral,financial_phrasebank
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,neutral,financial_phrasebank
"The market making in accordance with the agreement will begin on September 24 , 2009 .",neutral,financial_phrasebank
"The final price will be specified by 14 May 2010 , the acquiring company said .",neutral,financial_phrasebank
"Following the move , Stora Enso holding in NewPage will remain unchanged .",neutral,financial_phrasebank
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,positive,financial_phrasebank
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,positive,financial_phrasebank
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative,financial_phrasebank
AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .,neutral,financial_phrasebank
Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,positive,financial_phrasebank
The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki .,neutral,financial_phrasebank
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",negative,financial_phrasebank
EPS dropped to EUR0 .2 from EUR0 .3 .,negative,financial_phrasebank
No decision on such sale of the now issued or existing treasury shares to YA Global has been made yet .,neutral,financial_phrasebank
"Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti who has worked as acting EVP , Healthcare & Welfare since August 2007 .",neutral,financial_phrasebank
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",negative,financial_phrasebank
The fixed acquisition price amounts to NOK 70 ( approximately EUR 8.7 ) million and additional price NOK 15 ( EUR 1.8 ) million at maximum .,neutral,financial_phrasebank
The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .,neutral,financial_phrasebank
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",neutral,financial_phrasebank
"The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland .",neutral,financial_phrasebank
"ADPnews - Dec 23 , 2009 - Norwegian financial services group SpareBank 1 Gruppen AS OSL : SBGRP said its board of directors appointed today Jarle Haug managing director of its claims collection subsidiary SpareBank 1 Gruppen Finans",neutral,financial_phrasebank
"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",neutral,financial_phrasebank
"The negotiations concern personnel of Cencorp Corporation and Singulase Oy as whole in Finland and in Sweden , the company said .",neutral,financial_phrasebank
The combined value of the orders is EUR 45mn .,neutral,financial_phrasebank
"The Company operates through four principal divisions : Consumer Packaging ; Office Papers ; Speciality Papers , as well as Market Pulp and Energy .",neutral,financial_phrasebank
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .,neutral,financial_phrasebank
"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .",neutral,financial_phrasebank
"no compensation for its news , opinions or distributions .",neutral,financial_phrasebank
The writing and publication of Lemmink+ñinen -¦ s history is a continuation of earlier collaboration between Antti Tuuri and the company .,neutral,financial_phrasebank
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,positive,financial_phrasebank
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,financial_phrasebank
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",positive,financial_phrasebank
Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,neutral,financial_phrasebank
"The contract includes design , construction , delivery of equipment , installation and commissioning .",neutral,financial_phrasebank
"Exports of goods fell by 59 % , and imports by 16.7 % .",negative,financial_phrasebank
The deliveries are scheduled for the summer and autumn of 2008 .,neutral,financial_phrasebank
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive,financial_phrasebank
"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",neutral,financial_phrasebank
"`` The number of collection errors fell considerably , and operations speeded up .",positive,financial_phrasebank
"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .",neutral,financial_phrasebank
"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",neutral,financial_phrasebank
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,positive,financial_phrasebank
Registration is required .,neutral,financial_phrasebank
"Operating profit of operations in Finland in the period under review totaled EUR 11.3 mn , remaining at the 2005 level .",neutral,financial_phrasebank
"In a letter to Economic Affairs Minister , the listed Estonian shipping company Tallink asks for the approval to be entitled to a 15 % cut in port fees in 2010 .",neutral,financial_phrasebank
"Votorantim Celulose e Papel ( VCP ) is part of the Votorantim Group , a major Brazilian conglomerate .",neutral,financial_phrasebank
"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters .",negative,financial_phrasebank
"The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000 , a net combined ratio of 133 % and 175 staff in total with offices in the UK , Germany and Benelux .",neutral,financial_phrasebank
Okmetic has used the furnaces for the contract manufacturing of solar crystals .,neutral,financial_phrasebank
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,neutral,financial_phrasebank
"The value of the contract is about EUR1 .0 m. Poyry , headquartered in Vantaa , Finland provides consulting and engineering services to the energy , forestry and infrastructure & environment sectors .",neutral,financial_phrasebank
"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia .",neutral,financial_phrasebank
"The total investment necessary will be EUR40m , the company estimated .",neutral,financial_phrasebank
"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",negative,financial_phrasebank
"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic .",neutral,financial_phrasebank
"Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",neutral,financial_phrasebank
"Currently Glaston employs approximately 1,500 persons .",neutral,financial_phrasebank
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,financial_phrasebank
Finnish Bank of +àland will launch its long-term pension savings account at the beginning of June 2010 .,neutral,financial_phrasebank
"- The Group -¦ s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .",neutral,financial_phrasebank
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",positive,financial_phrasebank
UPM-Kymmene said its has ` not indicated any interest in any domestic consolidations ' .,neutral,financial_phrasebank
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",neutral,financial_phrasebank
Scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics .,neutral,financial_phrasebank
"In providing managed services , Nokia takes responsibility for building , operating and transferring as well as optimising the Indosat 3G network .",neutral,financial_phrasebank
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",positive,financial_phrasebank
The value of the total investment is about EUR 600mn .,neutral,financial_phrasebank
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",neutral,financial_phrasebank
"The report profiles 158 companies including many key and niche players including major Nonwovens manufacturers such as Ahlstrom Corporation , Asahi Kasei Corporation , Buckeye Technologies , Inc. , EI .",neutral,financial_phrasebank
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,negative,financial_phrasebank
The actions are expected to deliver annual cost savings of some EUR15-20m .,positive,financial_phrasebank
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral,financial_phrasebank
"Conference Call To participate via a conference call , please dial in 5-10 minutes before the beginning of the event : +44 0 20 7162 0025 Europe or +1 334-á323-á6201 USA .",neutral,financial_phrasebank
Other details were not provided .,neutral,financial_phrasebank
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,neutral,financial_phrasebank
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,neutral,financial_phrasebank
New Novator products are supposed to be exported .,neutral,financial_phrasebank
"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,financial_phrasebank
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",neutral,financial_phrasebank
"The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million .",neutral,financial_phrasebank
"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .",positive,financial_phrasebank
Finnish media group Talentum has issued a profit warning .,negative,financial_phrasebank
